batch,loss,avg_loss,rate,seconds,images
506,0.732,0.744,0.0001711,0.057412,2024
507,0.003,0.67,0.00017245,0.055348999999999995,2028
508,0.533,0.656,0.00017382,0.053193,2032
509,0.231,0.613,0.00017519,0.051731,2036
510,1.017,0.654,0.00017657,0.054256,2040
511,0.514,0.64,0.00017796,0.057203000000000004,2044
512,0.423,0.618,0.00017936,0.058177,2048
513,1.989,0.755,0.00018076,0.058973,2052
514,0.009,0.681,0.00018218,0.058746,2056
515,0.305,0.643,0.0001836,0.053877,2060
516,1.448,0.724,0.00018503,0.056875,2064
517,0.743,0.726,0.00018647,0.056604,2068
518,0.503,0.703,0.00018791,0.055789,2072
519,0.987,0.732,0.00018937,0.057345999999999994,2076
520,0.91,0.749,0.00019083,0.059385,2080
521,0.527,0.727,0.00019231,0.056828000000000004,2084
522,0.491,0.704,0.00019379,0.055814,2088
523,0.864,0.72,0.00019528,0.056461,2092
524,0.623,0.71,0.00019677,0.05657,2096
525,0.004,0.639,0.00019828,0.059794,2100
526,0.003,0.576,0.00019979,0.059051,2104
527,0.331,0.551,0.00020132,0.053571,2108
528,0.256,0.522,0.00020285,0.056549999999999996,2112
529,1.083,0.578,0.00020439,0.055848999999999996,2116
530,0.782,0.598,0.00020594,0.056847,2120
531,1.674,0.706,0.0002075,0.057088,2124
532,0.566,0.692,0.00020907,0.065798,2128
533,0.004,0.623,0.00021064,0.055564,2132
534,0.848,0.646,0.00021223,0.057058,2136
535,1.25,0.706,0.00021382,0.058939,2140
536,0.506,0.686,0.00021543,0.059851,2144
537,0.453,0.663,0.00021704,0.061493,2148
538,0.55,0.651,0.00021866,0.063244,2152
539,1.187,0.705,0.00022029,0.068536,2156
540,0.799,0.714,0.00022193,0.062034,2160
541,0.512,0.694,0.00022358,0.058071,2164
542,0.493,0.674,0.00022524,0.058414,2168
543,0.817,0.688,0.0002269,0.057358,2172
544,0.816,0.701,0.00022858,0.059732999999999994,2176
545,0.643,0.695,0.00023026,0.058115,2180
546,0.213,0.647,0.00023196,0.060253999999999995,2184
547,0.745,0.657,0.00023366,0.05989,2188
548,0.944,0.685,0.00023538,0.061336,2192
549,0.527,0.67,0.0002371,0.060848,2196
550,0.286,0.631,0.00023883,0.059811,2200
551,0.846,0.653,0.00024057,0.059779000000000006,2204
552,0.759,0.663,0.00024232,0.058854,2208
553,1.045,0.701,0.00024408,0.060791,2212
554,0.725,0.704,0.00024586,0.058924,2216
555,0.193,0.653,0.00024764,0.058978,2220
